27.58804,21.75815,32.03682,26.86274
27.58441,21.75814,32.09912,26.86282
27.5851,21.75814,32.16282,26.86289
27.59061,21.75813,32.22798,26.8629
27.5955,21.75814,32.29644,26.86294
27.59954,21.75814,32.35791,26.86309
27.59795,21.75813,32.42317,26.8634
27.60606,21.75812,32.48588,26.86369
27.6061,21.75808,32.54488,26.86393
27.6096,21.75807,32.61001,26.86445
27.61449,21.75812,32.67398,26.86556
27.62121,21.75817,32.7342,26.86713
27.62754,21.7582,32.8014,26.8689
27.63809,21.75825,32.85752,26.87068
27.64604,21.7583,32.92648,26.8723
27.65788,21.75835,32.99226,26.87369
27.66503,21.75841,33.05472,26.87501
27.67419,21.75852,33.11716,26.87658
27.68703,21.75869,33.18275,26.87835
27.70586,21.75883,33.2461,26.87984
27.71832,21.75894,33.31204,26.88079
27.72546,21.7591,33.37494,26.88133
27.74045,21.75928,33.438,26.88172
27.75688,21.75945,33.49653,26.88214
27.77854,21.75965,33.56105,26.88278
27.79902,21.75984,33.6253,26.88356
27.80987,21.76006,33.6868,26.88426
27.82558,21.76019,33.75389,26.88472
27.84454,21.76034,33.81285,26.88504
27.871,21.76051,33.87896,26.88532
27.89274,21.76064,33.9404,26.8855
27.90906,21.76078,34.00784,26.88556
27.93753,21.76094,34.07326,26.8855
27.96383,21.76108,34.1356,26.88536
27.98896,21.7612,34.1986,26.88512
28.01289,21.76134,34.26112,26.88476
28.03928,21.76148,34.32297,26.88432
28.07,21.76163,34.39236,26.8839
28.10214,21.76174,34.4593,26.8834
28.12612,21.7618,34.52109,26.88285
28.15866,21.76192,34.58942,26.88232
28.18585,21.76198,34.6503,26.88188
28.21768,21.76202,34.71443,26.88149
28.24843,21.76205,34.77996,26.8811
28.28341,21.76211,34.8469,26.88074
28.31695,21.76216,34.9109,26.88045
28.35633,21.76216,34.97438,26.88018
28.39575,21.76216,35.04219,26.87992
28.42786,21.76217,35.1044,26.87969
28.46482,21.76218,35.17297,26.87952
28.4998,21.76216,35.23563,26.87932
28.54063,21.76215,35.30446,26.8791
28.5816,21.76217,35.36444,26.87892
28.62234,21.76219,35.43278,26.87875
28.66562,21.76214,35.49581,26.87861
28.71472,21.76209,35.56289,26.87844
28.75426,21.76207,35.62794,26.87831
28.79714,21.76206,35.69944,26.87818
28.84548,21.76204,35.76007,26.87805
28.89491,21.76202,35.83002,26.87793
28.93954,21.76198,35.89598,26.87782
28.98394,21.76194,35.96525,26.87774
29.03445,21.76188,36.02968,26.87764
29.08806,21.76184,36.09411,26.87754
29.14182,21.76181,36.16052,26.87741
29.18996,21.76177,36.22816,26.87732
29.24005,21.76172,36.29275,26.87719
29.29121,21.76169,36.36186,26.87706
29.34684,21.76164,36.42566,26.87692
29.40562,21.7616,36.4968,26.87681
29.45465,21.76159,36.55774,26.87672
29.51243,21.76155,36.6257,26.87661
