27.58804,100.03232,99.98950,-0.02067,-0.00478
27.58441,100.03227,99.98980,-0.00800,-0.00409
27.58510,100.03227,99.99006,0.00034,-0.00057
27.59061,100.03223,99.99010,-0.01740,-0.00217
27.59550,100.03227,99.99025,-0.00800,-0.00908
27.59954,100.03227,99.99081,-0.03691,-0.01768
27.59795,100.03223,99.99196,-0.00233,-0.01721
27.60606,100.03218,99.99304,4.58946,-0.01514
27.60610,100.03200,99.99393,0.00514,-0.02972
27.60960,100.03195,99.99587,-0.05501,-0.06459
27.61449,100.03218,100.00000,-0.04221,-0.09704
27.62121,100.03241,100.00584,-0.02979,-0.09804
27.62754,100.03255,100.01243,-0.02979,-0.11806
27.63809,100.03278,100.01906,-0.03691,-0.08744
27.64604,100.03301,100.02509,-0.02741,-0.07865
27.65788,100.03324,100.03026,-0.04658,-0.07866
27.66503,100.03352,100.03518,-0.06321,-0.09359
27.67419,100.03402,100.04102,-0.06887,-0.10045
27.68703,100.03480,100.04761,-0.04218,-0.08755
27.70586,100.03545,100.05315,-0.04859,-0.05363
27.71832,100.03595,100.05669,-0.11102,-0.03196
27.72546,100.03669,100.05870,-0.06321,-0.02302
27.74045,100.03752,100.06015,-0.05557,-0.02671
27.75688,100.03830,100.06171,-0.05045,-0.03692
27.77854,100.03922,100.06410,-0.05065,-0.04519
27.79902,100.04009,100.06700,-0.10122,-0.04237
27.80987,100.04110,100.06961,-0.04604,-0.02552
27.82558,100.04170,100.07132,-0.04437,-0.02020
27.84454,100.04239,100.07251,-0.03754,-0.01577
27.87100,100.04317,100.07355,-0.03549,-0.01090
27.89274,100.04377,100.07422,-0.04744,-0.00331
27.90906,100.04441,100.07444,-0.03384,0.00341
27.93753,100.04515,100.07422,-0.03247,0.00836
27.96383,100.04579,100.07370,-0.02995,0.01418
27.98896,100.04634,100.07281,-0.03490,0.02143
28.01289,100.04699,100.07147,-0.03239,0.02648
28.03928,100.04763,100.06983,-0.03045,0.02253
28.07000,100.04832,100.06827,-0.02373,0.02780
28.10214,100.04883,100.06640,-0.01950,0.03313
28.12612,100.04910,100.06436,-0.02495,0.02887
28.15866,100.04965,100.06238,-0.01815,0.02690
28.18585,100.04993,100.06075,-0.01378,0.02264
28.21768,100.05011,100.05930,-0.01249,0.02215
28.24843,100.05025,100.05784,-0.01589,0.02002
28.28341,100.05053,100.05650,-0.01485,0.01687
28.31695,100.05076,100.05542,-0.00800,0.01583
